PAIS,PROVINCIA,CLUB
ECUADOR,Cotopaxi,Geinco Team
ECUADOR,Cotopaxi,Santa Rita
ECUADOR,Cotopaxi,C.D. La Unión
ECUADOR,El Oro,Atlético Mineiro
ECUADOR,El Oro,Bonita Banana S.C.
ECUADOR,El Oro,Jogo Bonito Z
ECUADOR,El Oro,Bolívar F.C.
ECUADOR,El Oro,Cantera del Jubones
ECUADOR,El Oro,Parma F.C.
ECUADOR,El Oro,Huaquillas F.C.
ECUADOR,El Oro,Cantera Orense
ECUADOR,El Oro,Santos F.C.
ECUADOR,El Oro,Audaz Octubrino
ECUADOR,Esmeraldas,Atlético Quinindé
ECUADOR,Esmeraldas,22 de Julio F.C.
ECUADOR,Esmeraldas,Atacames S.C.
ECUADOR,Esmeraldas,Alianza del Pailón
ECUADOR,Esmeraldas,Esmeraldas F.C.
ECUADOR,Esmeraldas,Esmeraldas Petrolero
ECUADOR,Esmeraldas,Atlético Valencia
ECUADOR,Esmeraldas,5 de Agosto
ECUADOR,Esmeraldas,Centro Juvenil Deportivo
ECUADOR,Esmeraldas,Sagrado Corazón F.C.
ECUADOR,Guayas,Legión Amarilla F.C.
ECUADOR,Guayas,Guayas F.C.
ECUADOR,Guayas,Búhos ULVR F.C.
ECUADOR,Guayas,Naranja Mekánica
ECUADOR,Guayas,Guayaquil F.C.
ECUADOR,Guayas,Astillero F.C.
ECUADOR,Guayas,Filanbanco
ECUADOR,Guayas,ESPOL
ECUADOR,Guayas,Atlético Daule
ECUADOR,Guayas,Real Fortaleza F.C.
ECUADOR,Guayas,C.D. Everest
ECUADOR,Guayas,CBM Internacional
ECUADOR,Guayas,Atlético Wahlex
ECUADOR,Guayas,Balzar City
ECUADOR,Guayas,Panamá S.C.
ECUADOR,Guayas,Ferrocarril F.C.
ECUADOR,Guayas,Atlético Samborondón
ECUADOR,Guayas,La Familia F.C.
ECUADOR,Guayas,C.S. Patria
ECUADOR,Guayas,ADN F.C.
ECUADOR,Guayas,Estudiantes del Guayas
ECUADOR,Guayas,Atlético JBG
ECUADOR,Guayas,Gloria Saltos
ECUADOR,Guayas,Milagro F.C.
ECUADOR,Guayas,Giancarlo Ramos
ECUADOR,Guayas,León de Juda
ECUADOR,Guayas,Toreros F.C.
ECUADOR,Imbabura,Santa Fe S.C.
ECUADOR,Imbabura,Deportivo Ibarra
ECUADOR,Imbabura,F.C. Otavalo
ECUADOR,Imbabura,Independiente Ibarra
ECUADOR,Imbabura,La Cantera F.C.
ECUADOR,Los Ríos,Club Patria
ECUADOR,Los Ríos,Río Babahoyo
ECUADOR,Los Ríos,F.C. Insutec
ECUADOR,Los Ríos,Santa Rita
ECUADOR,Los Ríos,Deportivo Quevedo
ECUADOR,Los Ríos,San Camilo
ECUADOR,Morona Santiago,Vicentino Dragons S.C.
ECUADOR,Morona Santiago,Liga de Macas
ECUADOR,Morona Santiago,Súper Deport Sucúa
ECUADOR,Orellana,Orellanense F.C.
ECUADOR,Orellana,Anaconda F.C.
ECUADOR,Orellana,Sacha Petrolero
ECUADOR,Orellana,Deportivo Coca
ECUADOR,Pastaza,Perla Amazónica
ECUADOR,Pastaza,S.D. Tréboles
ECUADOR,Pastaza,Puerto Valle F.C.
ECUADOR,Pastaza,SRP Mera Pastaza
ECUADOR,Pastaza,Ciudad Canela
ECUADOR,Pastaza,La Cantera de Pastaza
ECUADOR,Pichincha,Deportivo Meridiano
ECUADOR,Pichincha,Miguel Iturralde
ECUADOR,Pichincha,C.D. Aampetra
ECUADOR,Pichincha,C.A. Vinotinto
ECUADOR,Pichincha,Patrón Mejía
ECUADOR,Pichincha,Independiente JFA
ECUADOR,Sante Elena,Atlético Espartanos
ECUADOR,Sante Elena,Huancavilca S.C.
ECUADOR,Sante Elena,Dreamers F.C.
ECUADOR,Sante Elena,Peninsulares F.C.
ECUADOR,Sante Elena,Carlos Borbor Reyes
ECUADOR,Sante Elena,Sport Bilbao
ECUADOR,Sante Elena,Ferrocarril Oeste F.C.
ECUADOR,Sante Elena,Sante Elena S.C.
ECUADOR,Sante Elena,Barracuda F.C.
ECUADOR,Sante Elena,Esforzados y Valientes F.C.
ECUADOR,Sante Elena,Sante Elena Sumpa
ECUADOR,Sante Elena,Africando F.C.
ECUADOR,Sante Elena,Lobos Máster F.C.
ECUADOR,Santo Domingo,Deportivo Santo Domingo
ECUADOR,Santo Domingo,S.D.Municipal
ECUADOR,Santo Domingo,La Concordia S.C.
ECUADOR,Santo Domingo,3 de Julio
ECUADOR,Santo Domingo,Japan Auto F.C.
ECUADOR,Santo Domingo,Colorados S.C.
ECUADOR,Tungurahua,Atlético Ambato
ECUADOR,Tungurahua,Baños Ciudad de Fuego
ECUADOR,Tungurahua,América F.C.1
ECUADOR,Tungurahua,El Globo
ECUADOR,Tungurahua,K’chis F.C.
ECUADOR,Tungurahua,Dearing Tungurahua
ECUADOR,Tungurahua,Fortecalza S.C.
ECUADOR,Zamora Chinchipe,Ecuagenera S.C.
ECUADOR,Zamora Chinchipe,Los Ángeles de San Vicente de Caney
ECUADOR,Zamora Chinchipe,Primero de Mayo
ECUADOR,Zamora Chinchipe,Ciudad de Yantzaza
ECUADOR,Zamora Chinchipe,Charapanos F.C.
